Meter_ID,Category_Label
608,EV_Only
327,EV_Only
967,PV_Only
502,PV_Only
520,Baseline
553,PV_Only
802,EV_Only
529,Baseline
723,PV_Only
107,Baseline
316,Baseline
38,Baseline
1292,EV_Only
388,Baseline
162,Baseline
429,PV_Only
954,PV_Only
1261,EV_Only
65,Baseline
595,Baseline
80,EV_Only
336,EV_Only
934,EV_Only
509,Baseline
456,Baseline
542,PV_Only
522,EV_Only
412,Baseline
248,Baseline
446,Baseline
239,Baseline
707,Baseline
48,Baseline
124,EV_Only
1195,PV_Only
1187,PV_Only
160,Baseline
99,PV_Only
431,Baseline
271,PV_Only
168,Baseline
1134,Baseline
59,Baseline
1225,EV_Only
621,EV_Only
916,PV_Only
53,Baseline
1253,Baseline
959,PV_Only
1280,EV_Only
1114,PV_Only
1295,EV_Only
214,Baseline
1270,PV_Only
383,Baseline
1164,Baseline
814,PV_Only
1233,Baseline
413,Baseline
1226,EV_Only
75,Baseline
27,Baseline
145,Baseline
252,EV_Only
79,EV_Only
1242,PV_Only
607,PV_Only
183,Baseline
370,Baseline
58,PV_Only
847,EV_Only
247,EV_Only
45,Baseline
1140,EV_Only
128,Baseline
848,EV_Only
289,Baseline
328,Baseline
275,Baseline
653,Baseline
948,PV_Only
12,Baseline
458,Baseline
369,Baseline
933,PV_Only
498,Baseline
453,Baseline
483,EV_Only
312,Baseline
219,Baseline
977,PV_Only
1223,Baseline
394,EV_Only
9,EV_Only
379,EV_Only
238,EV_Only
558,EV_Only
1135,PV_Only
743,EV_Only
1169,Baseline
466,Baseline
472,Baseline
722,PV_Only
537,EV_Only
43,EV_Only
319,EV_Only
577,PV_Only
459,Baseline
71,Baseline
129,EV_Only
373,EV_Only
360,EV_Only
115,EV_Only
882,Baseline
153,EV_Only
4,Baseline
619,EV_Only
644,EV_Only
1179,PV_Only
962,Baseline
306,Baseline
869,Baseline
1252,Baseline
284,Baseline
476,EV_Only
87,PV_Only
968,EV_Only
716,EV_Only
579,Baseline
292,Baseline
97,Baseline
1258,Baseline
1168,PV_Only
256,EV_Only
791,Baseline
1177,EV_Only
760,EV_Only
187,Baseline
551,EV_Only
639,EV_Only
95,Baseline
1296,PV_Only
629,PV_Only
230,Baseline
1115,Baseline
172,Baseline
1150,EV_Only
565,PV_Only
138,Baseline
1092,EV_Only
301,Baseline
237,PV_Only
83,Baseline
1014,PV_Only
132,PV_Only
570,Baseline
309,Baseline
1222,PV_Only
32,Baseline
779,EV_Only
666,PV_Only
278,PV_Only
495,Baseline
192,PV_Only
208,EV_Only
566,Baseline
880,PV_Only
889,PV_Only
131,EV_Only
1276,Baseline
741,Baseline
101,Baseline
139,PV_Only
563,EV_Only
989,PV_Only
852,EV_Only
225,Baseline
426,EV_Only
255,EV_Only
390,Baseline
324,Baseline
253,EV_Only
121,Baseline
727,PV_Only
259,PV_Only
114,Baseline
267,Baseline
134,PV_Only
283,Baseline
135,Baseline
348,Baseline
589,Baseline
1251,EV_Only
127,Baseline
519,EV_Only
161,Baseline
40,Baseline
1174,Baseline
181,EV_Only
1100,Baseline
365,PV_Only
626,PV_Only
1229,PV_Only
191,Baseline
618,Baseline
896,PV_Only
270,Baseline
77,EV_Only
1288,PV_Only
112,EV_Only
1200,Baseline
415,Baseline
612,Baseline
55,Baseline
19,EV_Only
1204,PV_Only
1224,EV_Only
545,PV_Only
188,PV_Only
902,Baseline
588,PV_Only
1249,Baseline
478,Baseline
447,Baseline
364,Baseline
1240,Baseline
1234,PV_Only
792,EV_Only
975,PV_Only
422,Baseline
277,EV_Only
622,EV_Only
329,Baseline
1042,Baseline
104,Baseline
594,PV_Only
57,Baseline
105,Baseline
220,PV_Only
78,Baseline
177,EV_Only
1209,Baseline
119,Baseline
227,Baseline
562,EV_Only
1191,PV_Only
645,Baseline
738,PV_Only
3,Baseline
372,EV_Only
957,Baseline
416,Baseline
1155,Baseline
1263,PV_Only
111,PV_Only
730,PV_Only
1149,PV_Only
492,EV_Only
222,PV_Only
298,EV_Only
21,Baseline
186,Baseline
1231,EV_Only
513,PV_Only
806,PV_Only
1203,PV_Only
684,Baseline
251,PV_Only
37,Baseline
481,PV_Only
250,Baseline
457,EV_Only
158,Baseline
154,PV_Only
396,PV_Only
395,Baseline
851,PV_Only
331,Baseline
264,Baseline
231,Baseline
217,PV_Only
34,Baseline
883,PV_Only
1247,EV_Only
1241,EV_Only
598,Baseline
1062,Baseline
532,Baseline
1159,Baseline
126,Baseline
386,Baseline
249,EV_Only
293,EV_Only
432,PV_Only
1048,Baseline
947,PV_Only
218,Baseline
42,Baseline
507,Baseline
861,Baseline
1278,PV_Only
22,EV_Only
505,Baseline
680,Baseline
632,EV_Only
391,EV_Only
203,Baseline
180,EV_Only
82,PV_Only
384,PV_Only
454,Baseline
198,Baseline
596,EV_Only
140,Baseline
14,Baseline
157,Baseline
94,Baseline
151,Baseline
1089,Baseline
489,EV_Only
894,PV_Only
518,Baseline
197,EV_Only
163,EV_Only
1081,PV_Only
73,Baseline
6,PV_Only
963,Baseline
1246,PV_Only
417,Baseline
491,Baseline
473,Baseline
311,Baseline
528,PV_Only
281,Baseline
443,Baseline
501,Baseline
207,Baseline
29,PV_Only
410,PV_Only
526,PV_Only
159,Baseline
584,Baseline
39,Baseline
120,Baseline
106,Baseline
606,PV_Only
212,Baseline
1298,Baseline
359,EV_Only
479,Baseline
308,Baseline
1287,Baseline
1183,EV_Only
1034,EV_Only
766,EV_Only
1039,EV_Only
561,Baseline
1201,Baseline
23,PV_Only
956,Baseline
496,EV_Only
86,PV_Only
877,PV_Only
206,Baseline
350,PV_Only
433,Baseline
173,Baseline
485,Baseline
1,EV_Only
211,Baseline
966,PV_Only
1205,PV_Only
76,Baseline
460,Baseline
550,EV_Only
527,Baseline
144,EV_Only
351,EV_Only
221,EV_Only
1216,Baseline
1208,Baseline
679,PV_Only
523,PV_Only
906,PV_Only
922,EV_Only
141,Baseline
439,EV_Only
944,PV_Only
195,Baseline
146,Baseline
661,Baseline
276,Baseline
18,EV_Only
564,EV_Only
63,Baseline
441,Baseline
1279,Baseline
326,PV_Only
196,Baseline
